expo,table,project,sponsors,link,category,special
,1,Immitia,GeoHub,https://github.com/kipply/banana,,
,2,Employment Hub,"GeoHub, Best Beginner Hack",https://github.com/pk400/employmenthub,,
,3,Welcome Home,"GeoHub, Best Beginner Hack",https://thimbleprojects.org/eshanb/447198,,
,4,Safe and Sound,GeoHub,https://github.com/MLHKevinTeam4/SafeAndSound,,
,5,ProTrack,"GeoHub, Best Beginner Hack",https://github.com/bessaFan/ProTrack,,
,6,Lifelog,,https://github.com/ShehryarX/wolfhacks,,
,7,311.2,,https://github.com/galactustrombone/311.2,,
,8,ProTrack,,,,
,9,dEnergy,,https://github.com/jadenbh12/dEnergy,,
,10,traffix,,https://github.com/Reiyer/traffix-plan-your-city,,
,11,Project Outreach,,https://github.com/hargunb/Project-Outreach,,
,12,Announcely,,https://github.com/jhthenerd/announce-app,,
,13,Immigration Integration in Brampton,,https://github.com/niuniu905/bramptonesl,,
,14,Quick Meds,,https://drive.google.com/open?id=1iOvijwFOJoF3FN4KAllK7nJ-wF1MAMXr,,
,15,Smart waste disposal system,,,,
,16,PlantPlanet,,,,
,17,Smarter Flower City,,https://drive.google.com/file/d/1_0ynP9wBEDdDF69EjaobtYnNUyn6f2Ht/view?usp=sharing,,
,18,EmergencyWhistleWolfHacks,Best Beginner Hack,https://github.com/Kirk3560/EmergencyWhistleWolfHacks,,
,19,CoFinder,,https://www.arcgis.com/apps/Cascade/index.html?appid=e5126f087d8d473db6fd1a89dc8893c9,,
,20,Brampton Helps: Know your city.,,https://tinyurl.com/BramHelp,,
,21,Newcomer Assistance Platform,,https://drive.google.com/drive/folders/1yTXcXrr0KYeI_gHaUomVP36EzJZ6yC8l?usp=sharing,,
,22,Find A Location (The Sweepers),Best Beginner Hack,,,
,23,CityConnect+,,https://drive.google.com/open?id=1-xEFlsx6Sr7bwjR63KNiTulSuueWITqa,,
,24,StreetView,,,,